code	aliases
A09	tiêu chảy cấp|viêm ruột cấp|rối loạn tiêu hóa cấp
A15.0	lao phổi|lao phổi có xác nhận vi khuẩn học|tuberculosis phổi|lao phổi hoạt động
A15.9	lao phổi không xác định|lao hô hấp
A16.2	lao phổi không xác nhận vi khuẩn học
A17.0	viêm màng não do lao|lao màng não
A18.0	lao xương khớp|lao cột sống
A41.9	nhiễm khuẩn huyết không xác định|nhiễm trùng huyết|sepsis
A49.9	nhiễm khuẩn không xác định|nhiễm trùng
A82	bệnh dại|virus dại|lyssavirus|rabies
A82.9	bệnh dại không xác định
A90	sốt dengue|dengue cổ điển|sốt dengue cổ điển
A91	sốt xuất huyết dengue|dengue xuất huyết|sốt huyết
A97.9	sốt dengue không xác định|dengue|sốt dengue|sốt xuất huyết dengue
B00.9	nhiễm herpes simplex không xác định|herpes simplex
B02.9	herpes zoster không xác định|zona|herpes zóster
B06.9	rubella không xác định|sởi Đức
B15.9	viêm gan A cấp tính|viêm gan siêu vi A|viêm gan virus A
B16.9	viêm gan B cấp tính|viêm gan siêu vi B cấp|HBV cấp
B18.1	viêm gan B mạn tính|viêm gan virus B mạn|viêm gan B mạn|viêm gan siêu vi B mạn|HBV mạn|HBsAg dương tính|bệnh gan do HBV
B18.2	viêm gan C mạn tính|viêm gan virus C mạn|viêm gan siêu vi C mạn|HCV mạn|viêm gan C
B19.9	viêm gan siêu vi không xác định|viêm gan virus
B34.9	nhiễm virus không xác định|nhiễm siêu vi
B35.1	nấm da bàn chân|hắc lào bàn chân|nấm bàn chân|athlete's foot
B35.4	nấm da thân mình|hắc lào thân|nấm da thân
B35.6	nấm bẹn|hắc lào bẹn|nấm da vùng bẹn|tinea cruris|nấm háng
B35.9	nấm da không xác định|nấm da
B36.0	lang ben|nấm lang ben|pityriasis versicolor
B37.9	candida không xác định|nấm Candida|nhiễm nấm Candida
C15.9	ung thư thực quản không xác định|carcinoma thực quản|ung thư thực quản
C16.0	ung thư tâm vị dạ dày|ung thư cardia
C16.9	ung thư dạ dày không xác định|carcinoma dạ dày|ung thư dạ dày
C18.0	ung thư manh tràng|carcinoma manh tràng
C18.7	ung thư đại tràng sigma|carcinoma đại tràng sigma
C18.9	ung thư đại tràng không xác định|carcinoma đại tràng|ung thư đại tràng|ung thư ruột già
C19	ung thư nối đại tràng sigma và trực tràng|carcinoma nối đại tràng sigma và trực tràng
C20	ung thư trực tràng|carcinoma trực tràng|u ác trực tràng|ung thư rectum|adenocarcinoma trực tràng
C21.0	ung thư hậu môn|carcinoma hậu môn
C22.0	ung thư biểu mô tế bào gan|ung thư gan nguyên phát|hepatocellular carcinoma|HCC|ung thư gan|carcinoma tế bào gan
C22.1	ung thư đường mật trong gan|ung thư biểu mô đường mật|cholangiocarcinoma|ung thư ống mật|bile duct carcinoma|ung thư biểu mô tế bào mật
C23	ung thư túi mật|carcinoma túi mật|ung thư gallbladder
C24.0	ung thư ống mật ngoài gan|ung thư ống dẫn mật|extrahepatic cholangiocarcinoma
C25.0	ung thư đầu tụy|carcinoma đầu tụy
C25.9	ung thư tụy không xác định|carcinoma tụy|ung thư tụy
C34.10	ung thư phổi trên không xác định|carcinoma phổi thùy trên
C34.90	ung thư phổi không xác định|carcinoma phổi|ung thư phổi|lung cancer|NSCLC|ung thư phế quản
C50.119	ung thư vú trên ngoài vú phải không xác định vị trí|ung thư vú
C50.911	ung thư vú vú phải không xác định vị trí|ung thư vú phải
C50.912	ung thư vú vú trái không xác định vị trí|ung thư vú trái
C50.919	ung thư vú không xác định|carcinoma vú|ung thư vú|breast cancer
C53.9	ung thư cổ tử cung không xác định|carcinoma cổ tử cung|ung thư cổ tử cung|cervical cancer
C54.1	ung thư nội mạc tử cung|carcinoma nội mạc tử cung|ung thư tử cung|endometrial cancer
C56.9	ung thư buồng trứng không xác định|carcinoma buồng trứng|ung thư buồng trứng|ovarian cancer
C61	ung thư tuyến tiền liệt|carcinoma tuyến tiền liệt|ung thư tiền liệt tuyến|prostate cancer
C67.9	ung thư bàng quang không xác định|carcinoma bàng quang|ung thư bàng quang|bladder cancer
C71.9	ung thư não không xác định|u não ác tính|brain tumor|ung thư não
C73	ung thư tuyến giáp|carcinoma tuyến giáp|thyroid cancer
C80.1	ung thư không rõ nguồn gốc|ung thư di căn không rõ nguồn gốc|ung thư biểu mô tuyến|adenocarcinoma
C81.90	bệnh Hodgkin không xác định|u lympho Hodgkin|lymphoma Hodgkin
C85.90	u lympho không Hodgkin không xác định|non-Hodgkin lymphoma|u lymphoma không Hodgkin
C91.00	bạch cầu cấp dòng lympho không xác định|ALL|leukemia lympho cấp
C92.00	bạch cầu cấp dòng tủy không xác định|AML|leukemia tủy cấp
C95.90	bạch cầu không xác định|leukemia|ung thư máu|bệnh bạch cầu
D05.90	ung thư vú in situ không xác định|ung thư vú tại chỗ
D12.6	u tuyến đại tràng|adenoma đại tràng|polyp đại tràng
D12.8	u tuyến trực tràng|adenoma trực tràng|polyp trực tràng|u tuyến rectum
D36.9	u lành tính không xác định|khối u lành tính|u lành
D55.0	thiếu men G6PD|thiếu glucose-6-phosphate dehydrogenase|G6PD|thiếu enzyme G6PD|bệnh thiếu G6PD
D56.1	thalassemia beta|bệnh thalassemia|thiếu máu thalassemia
D57.1	hồng cầu liềm không có cơn|sickle cell disease
D64.9	thiếu máu không xác định|thiếu máu|anemia
D64.0	thiếu máu thiếu sắt|thiếu máu do thiếu sắt
D50.9	thiếu máu thiếu sắt không xác định|thiếu sắt
E03.9	suy giáp không xác định|nhược giáp|hypothyroidism|giảm chức năng tuyến giáp
E05.00	cường giáp không biến chứng không xác định|bệnh Graves|Basedow|basedow|cường giáp|hyperthyroidism
E05.90	cường giáp không xác định|cường tuyến giáp
E10.9	đái tháo đường type 1 không biến chứng|tiểu đường type 1|đái tháo đường tuýp 1|T1DM
E10.65	đái tháo đường type 1 với biến chứng tăng đường huyết|tiểu đường type 1 tăng đường huyết
E11.9	đái tháo đường type 2 không biến chứng|tiểu đường type 2|đái tháo đường tuýp 2|T2DM|đái tháo đường|tiểu đường
E11.65	đái tháo đường type 2 với biến chứng tăng đường huyết|tiểu đường tăng đường huyết
E11.40	đái tháo đường type 2 với biến chứng thần kinh không xác định|tiểu đường biến chứng thần kinh
E11.21	đái tháo đường type 2 với biến chứng thận mạn tính|tiểu đường biến chứng thận
E11.36	đái tháo đường type 2 với biến chứng mắt không xác định|tiểu đường biến chứng mắt
E13.9	đái tháo đường khác không biến chứng|đái tháo đường thai kỳ|gestational diabetes
E20.9	suy cận giáp không xác định|hypoparathyroidism
E21.0	cường cận giáp nguyên phát|hyperparathyroidism nguyên phát
E27.40	suy thượng thận không xác định|Addison|bệnh Addison
E28.2	hội chứng buồng trứng đa nang|PCOS|buồng trứng đa nang|polycystic ovary
E28.39	suy buồng trứng nguyên phát khác|mãn kinh sớm
E55.9	thiếu vitamin D không xác định|còi xương|thiếu vitamin D
E58	thiếu canxi chế độ ăn|hypocalcemia
E66.01	béo phì do calo dư thừa|béo phì mức độ nặng|morbid obesity
E66.09	béo phì do calo dư thừa khác|béo phì|thừa cân
E66.9	béo phì không xác định|béo phì|thừa cân
E78.00	tăng cholesterol máu thuần túy không xác định|tăng lipid máu|tăng cholesterol|hyperlipidemia|rối loạn lipid máu
E78.5	rối loạn lipid máu hỗn hợp|dyslipidemia|rối loạn mỡ máu
E79.0	tăng axit uric máu không có triệu chứng|tăng acid uric
E83.51	tăng canxi máu|hypercalcemia
E87.1	giảm natri máu|hyponatremia
E87.5	tăng kali máu|hyperkalemia
E87.6	giảm kali máu|hypokalemia
F10.10	rối loạn sử dụng rượu nhẹ|nghiện rượu|lạm dụng rượu|alcohol use disorder
F10.20	rối loạn sử dụng rượu nặng|nghiện rượu nặng|phụ thuộc rượu
F11.20	rối loạn sử dụng opioid nặng|nghiện opioid|phụ thuộc opioid
F14.20	rối loạn sử dụng cocaine nặng|nghiện cocaine
F17.210	phụ thuộc nicotine thuốc lá|nghiện thuốc lá|hút thuốc lá
F20.9	tâm thần phân liệt không xác định|schizophrenia
F31.9	rối loạn lưỡng cực không xác định|hưng trầm cảm|bipolar disorder
F32.0	giai đoạn trầm cảm nhẹ|trầm cảm nhẹ
F32.1	giai đoạn trầm cảm vừa|trầm cảm vừa
F32.9	giai đoạn trầm cảm không xác định|trầm cảm|depression|rối loạn trầm cảm
F41.0	rối loạn hoảng sợ không có agoraphobia|hoảng sợ|panic disorder
F41.1	rối loạn lo âu lan tỏa|lo âu lan tỏa|anxiety disorder|GAD
F41.9	rối loạn lo âu không xác định|lo âu|anxiety|lo lắng
F43.10	rối loạn stress sau sang chấn không xác định|PTSD
F43.23	rối loạn điều chỉnh với lo âu và tâm trạng chán nản|adjustment disorder
F50.00	chán ăn tâm thần không xác định|anorexia
F51.01	mất ngủ nguyên phát không xác định|mất ngủ|insomnia|rối loạn giấc ngủ
G20	bệnh Parkinson|Parkinson|parkinson|hội chứng Parkinson
G30.0	bệnh Alzheimer khởi phát sớm|Alzheimer sớm
