code	aliases
1191	aspirin|ASA|acetylsalicylic acid|acid acetylsalicylic
161	acetaminophen|paracetamol|Panadol|Efferalgan|Tylenol|thuốc hạ sốt
5640	ibuprofen|Advil|Motrin|Nurofen|thuốc giảm đau ibuprofen
7052	morphine|morphin|morphine sulfate|thuốc giảm đau morphine
10689	tramadol|Ultram|thuốc giảm đau tramadol
2670	codeine|codein|thuốc ho codeine
41493	methylprednisolone|Medrol|Solu-Medrol|methylprednisolon|corticoid methylprednisolone
9118	prednisolone|Prednisolon|thuốc prednisolon|prednisolon
3264	dexamethasone|Dexamethasone|dexamethason|corticoid dexamethasone
17767	amlodipine|Norvasc|amlodipin|amlodipine besylate|thuốc hạ áp amlodipine
1202	atenolol|Tenormin|atenolol|thuốc tim mạch atenolol
866519	metoprolol succinate|Toprol-XL|metoprolol succinat|metoprolol XL
866924	metoprolol tartrate|Lopressor|metoprolol tartrat|metoprolol
29046	lisinopril|Prinivil|Zestril|lisinopril|thuốc hạ áp lisinopril
3827	enalapril|Vasotec|enalapril|thuốc hạ áp enalapril
214354	ramipril|Altace|ramipril
214492	perindopril|Coversyl|perindopril
35100	valsartan|Diovan|valsartan
83367	atorvastatin|Lipitor|atorvastatin|atorvastatin calcium|thuốc mỡ máu atorvastatin
36567	simvastatin|Zocor|simvastatin|thuốc mỡ máu simvastatin
42463	pravastatin|Pravachol|pravastatin|thuốc mỡ máu pravastatin
41493	rosuvastatin|Crestor|rosuvastatin|thuốc mỡ máu rosuvastatin
4603	furosemide|Lasix|furosemid|furosemide|lợi tiểu furosemide
9997	spironolactone|Aldactone|spironolacton|thuốc lợi tiểu spironolactone
392089	hydrochlorothiazide|HCTZ|hydrochlorothiazid|thuốc lợi tiểu HCTZ
11289	warfarin|Coumadin|warfarin|thuốc chống đông warfarin
32968	clopidogrel|Plavix|clopidogrel|thuốc kháng tiểu cầu clopidogrel
321064	apixaban|Eliquis|apixaban
1114195	rivaroxaban|Xarelto|rivaroxaban
7674	nitroglycerin|nitroglycerine|Nitralmyl|nitro|nitroglycerin|thuốc giãn mạch nitro|NTG
6809	metformin|Glucophage|metformin|metformin HCl|thuốc tiểu đường metformin
5856	insulin|insulin regular|insulin nhanh|thuốc tiêm insulin
274783	insulin glargine|Lantus|insulin tác dụng kéo dài
311040	insulin aspart|NovoLog|insulin nhanh
606923	sitagliptin|Januvia|sitagliptin|thuốc tiểu đường sitagliptin
593411	liraglutide|Victoza|liraglutide
3498	doxycycline|Vibramycin|doxycycline|kháng sinh doxycycline
723	amoxicillin|Amoxil|amoxicillin|amoxicilin|kháng sinh amoxicillin
723	amoxicillin-clavulanate|Augmentin|amoxicillin clavulanate|augmentin
2551	ciprofloxacin|Cipro|ciprofloxacin|kháng sinh ciprofloxacin
41493	levofloxacin|Levaquin|levofloxacin|kháng sinh levofloxacin
18631	azithromycin|Zithromax|Zpack|azithromycin|kháng sinh azithromycin
7454	ceftriaxone|Rocephin|ceftriaxone|kháng sinh ceftriaxone
203155	cefazolin|Ancef|cefazolin|kháng sinh cefazolin
25033	vancomycin|vancomycin|kháng sinh vancomycin
7646	omeprazole|Prilosec|omeprazole|thuốc dạ dày omeprazole
283921	esomeprazole|Nexium|esomeprazole|thuốc dạ dày esomeprazole
40790	pantoprazole|Protonix|pantoprazole|thuốc dạ dày pantoprazole
17128	lansoprazole|Prevacid|lansoprazole|thuốc dạ dày lansoprazole
114979	rabeprazole|Aciphex|rabeprazole
26225	ondansetron|Zofran|ondansetron|thuốc chống nôn ondansetron
8698	prochlorperazine|Compazine|prochlorperazine|thuốc chống nôn compazine
8591	promethazine|Phenergan|promethazine|thuốc dị ứng promethazine
3498	metoclopramide|Reglan|metoclopramide|thuốc chống nôn metoclopramide
3498	domperidone|Motilium|domperidone|thuốc dạ dày domperidone
6470	lorazepam|Ativan|lorazepam|thuốc an thần lorazepam
3322	diazepam|Valium|diazepam|Seduxen|thuốc an thần diazepam
25480	gabapentin|Neurontin|gabapentin|thuốc thần kinh gabapentin
187832	pregabalin|Lyrica|pregabalin|thuốc thần kinh pregabalin
36437	carbamazepine|Tegretol|carbamazepine|thuốc động kinh
39886	phenytoin|Dilantin|phenytoin|thuốc động kinh
7757	phenobarbital|luminal|phenobarbital|thuốc động kinh|phenobarbital
37078	valproic acid|Depakote|valproate|acid valproic|thuốc động kinh
36298	levetiracetam|Keppra|levetiracetam|thuốc động kinh
58827	sertraline|Zoloft|sertraline|thuốc trầm cảm
4493	fluoxetine|Prozac|fluoxetine|Prozac|thuốc trầm cảm
30031	escitalopram|Lexapro|escitalopram|thuốc trầm cảm
36437	citalopram|Celexa|citalopram|thuốc trầm cảm
42347	venlafaxine|Effexor|venlafaxine|thuốc trầm cảm
7531	paroxetine|Paxil|paroxetine|thuốc trầm cảm
72625	quetiapine|Seroquel|quetiapine|thuốc an thần kinh
19831	olanzapine|Zyprexa|olanzapine|thuốc chống loạn thần
41267	risperidone|Risperdal|risperidone|thuốc chống loạn thần
519	allopurinol|Zyloprim|allopurinol|thuốc gút|thuốc gout
2683	colchicine|Colcrys|colchicine|thuốc gút cấp
1234995	febuxostat|Uloric|febuxostat|thuốc gút
39786	methotrexate|Rheumatrex|methotrexate|thuốc thấp khớp
114979	hydroxychloroquine|Plaquenil|hydroxychloroquine|thuốc lupus|thuốc thấp khớp
704	adalimumab|Humira|adalimumab|thuốc sinh học thấp khớp
35606	etanercept|Enbrel|etanercept|thuốc sinh học thấp khớp
1014365	alendronate|Fosamax|alendronate|thuốc loãng xương
84108	risedronate|Actonel|risedronate|thuốc loãng xương
117026	ibandronate|Boniva|ibandronate|thuốc loãng xương
203155	zoledronic acid|Reclast|zoledronic acid|thuốc loãng xương
589910	denosumab|Prolia|denosumab|thuốc loãng xương
8163	levothyroxine|Synthroid|levothyroxine|T4|thuốc tuyến giáp|thuốc giáp
6901	methimazole|Tapazole|methimazole|thuốc cường giáp
4756	propylthiouracil|PTU|propylthiouracil|thuốc cường giáp
4493	ipratropium|Atrovent|ipratropium|thuốc giãn phế quản|kháng cholinergic
435	albuterol|salbutamol|Ventolin|ProAir|albuterol|salbutamol|thuốc hen phế quản|thuốc giãn phế quản
245314	salmeterol|Serevent|salmeterol|LABA
573621	formoterol|Foradil|formoterol|LABA
1454890	budesonide-formoterol|Symbicort|budesonide formoterol|thuốc hen kết hợp
727316	fluticasone-salmeterol|Advair|advair|fluticasone salmeterol|thuốc hen kết hợp
7646	montelukast|Singulair|montelukast|thuốc hen
4493	theophylline|Theo-Dur|theophylline|thuốc giãn phế quản theophylline
318463	methylprednisolone|Solu-Medrol iv|methylprednisolone IV|tiêm methylprednisolone
8591	prednisone|Deltasone|prednisone|thuốc corticoid prednisone
9118	hydrocortisone|Solu-Cortef|hydrocortisone|cortisol|thuốc hydrocortisone
7757	phenobarbital|Luminal|phenobarbital
36567	ticagrelor|Brilinta|ticagrelor|thuốc kháng tiểu cầu
49276	prasugrel|Effient|prasugrel|thuốc kháng tiểu cầu
